"StudyID","StudyDay","StudyHour","SurveyCount"
"59154",1,1,4
"85321",1,5,3
"73026",2,1,2
"45107",2,3,2
"19003",2,5,2
"45107",2,5,2
"59503",2,5,4
"73026",2,5,2
"86313",2,5,2
"12452",2,6,2
"18682",2,6,2
"19003",2,6,2
"38178",2,6,2
"38190",2,6,2
"43465",2,6,2
"49314",2,6,2
"59154",2,6,2
"59503",2,6,2
"68129",2,6,2
"73026",2,6,2
"85321",2,6,2
"89171",2,6,2
"45107",3,4,2
"59154",4,2,2
"89171",4,2,2
"69258",4,5,2
"54010",5,1,2
"13098",5,5,2
"39925",5,5,2
"85321",6,3,2
"43465",6,5,2
"54010",6,5,2
"59154",6,5,2
"49314",7,1,2
"54010",7,1,2
"19599",7,5,2
"49314",7,5,2
"80549",7,5,2
